window,feature,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
8,PB_only,-0.019871,0.05,0.2,0.35,0.7,0.7,0.85,0.95,0.0,0.0,0.0,0.1,0.03
8,PB_FED,-0.019871,0.15,0.3,0.45,0.7,0.7,0.75,0.85,-0.5,0.0,0.0,0.12,0.03
8,PB_FED,-0.019878,0.1,0.25,0.3,0.65,0.65,0.75,0.85,-0.5,0.0,0.0,0.08,0.05
8,PB_only,-0.019892,0.05,0.2,0.3,0.7,0.65,0.8,0.95,0.0,0.0,0.0,0.1,0.05
8,PB_FED,-0.019905,0.1,0.2,0.35,0.7,0.65,0.85,0.95,0.0,0.0,0.0,0.08,0.05
8,PB_FED,-0.01992,0.15,0.3,0.35,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.03
8,PB_FED,-0.019928,0.15,0.25,0.3,0.7,0.65,0.85,0.95,-0.5,0.0,0.0,0.1,0.04
8,PB_FED,-0.019935,0.1,0.25,0.45,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.1,0.05
8,PB_only,-0.019942,0.05,0.2,0.3,0.65,0.65,0.75,0.85,0.0,0.0,0.0,0.12,0.04
8,PB_FED,-0.019942,0.1,0.2,0.3,0.65,0.65,0.85,0.9,-0.5,0.0,0.0,0.1,0.05
8,PB_only,-0.019959,0.05,0.2,0.4,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_FED,-0.019969,0.15,0.25,0.35,0.65,0.75,0.8,0.85,-0.5,0.0,0.0,0.06,0.03
8,PB_FED,-0.019971,0.1,0.15,0.4,0.65,0.65,0.85,0.9,-0.5,0.0,0.0,0.12,0.05
8,PB_FED,-0.019978,0.2,0.3,0.35,0.7,0.75,0.8,0.85,-0.5,0.0,0.0,0.08,0.03
8,PB_only,-0.01998,0.2,0.25,0.4,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.12,0.03
8,PB_only,-0.01998,0.05,0.2,0.45,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.08,0.05
8,PB_FED,-0.020001,0.15,0.2,0.45,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.12,0.05
8,PB_only,-0.020015,0.05,0.15,0.45,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.08,0.05
8,PB_only,-0.020091,0.15,0.25,0.3,0.7,0.65,0.8,0.95,0.0,0.0,0.0,0.1,0.03
8,PB_FED,-0.020123,0.05,0.2,0.45,0.7,0.65,0.85,0.9,-0.5,0.0,0.0,0.06,0.04
8,PB_FED,-0.020134,0.2,0.25,0.4,0.7,0.65,0.75,0.95,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.020143,0.2,0.25,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.08,0.04
8,PB_FED,-0.020144,0.15,0.25,0.3,0.65,0.7,0.8,0.95,0.0,0.0,0.0,0.12,0.03
8,PB_only,-0.020156,0.1,0.15,0.4,0.65,0.65,0.75,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_only,-0.020163,0.2,0.25,0.4,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.08,0.03
8,PB_FED,-0.020176,0.2,0.25,0.3,0.65,0.7,0.75,0.95,0.0,0.0,0.0,0.08,0.03
