he,ex,dt,heavy_ratio,extreme_ratio,000300_xirr,000300_return,000300_trades,000300_buys,000300_sells,000905_xirr,000905_return,000905_trades,000905_buys,000905_sells,000852_xirr,000852_return,000852_trades,000852_buys,000852_sells,000016_xirr,000016_return,000016_trades,000016_buys,000016_sells,399006_xirr,399006_return,399006_trades,399006_buys,399006_sells,399330_xirr,399330_return,399330_trades,399330_buys,399330_sells,avg_xirr,n_indices
0.75,0.9,0.04,0.25,0.35,0.1192,0.245935,330,312,18,0.1149,0.264142,301,285,16,0.1763,0.376004,263,236,27,0.1536,0.196712,306,278,28,0.2163,0.638971,275,249,26,0.198,0.337288,297,267,30,0.16305,6
0.8,0.85,0.03,0.2,0.5,0.1179,0.247802,328,314,14,0.1086,0.273332,300,285,15,0.1795,0.402352,259,240,19,0.1429,0.202164,310,284,26,0.2446,0.718898,269,249,20,0.1845,0.357634,296,272,24,0.163,6
0.75,0.9,0.05,0.25,0.5,0.1199,0.246468,330,312,18,0.1137,0.255553,301,285,16,0.1776,0.375902,263,236,27,0.1552,0.197806,306,278,28,0.2146,0.634503,275,249,26,0.1969,0.335217,295,267,28,0.162983,6
0.8,0.9,0.04,0.2,0.35,0.119,0.259211,330,314,16,0.1124,0.295505,300,285,15,0.1705,0.395654,262,240,22,0.1421,0.213676,310,284,26,0.2334,0.697572,273,249,24,0.2,0.355752,299,271,28,0.1629,6
0.8,0.95,0.04,0.2,0.35,0.1165,0.254431,331,314,17,0.1148,0.294799,303,285,18,0.1726,0.399963,265,240,25,0.1415,0.213304,310,284,26,0.2319,0.693485,276,249,27,0.2,0.356094,305,271,34,0.162883,6
0.75,0.95,0.04,0.25,0.5,0.117,0.241992,331,312,19,0.1155,0.257932,304,285,19,0.178,0.377639,266,236,30,0.1552,0.197326,306,278,28,0.2145,0.633977,278,249,29,0.1968,0.335142,303,267,36,0.162833,6
0.8,0.85,0.04,0.15,0.5,0.1181,0.256203,328,314,14,0.102,0.287025,300,285,15,0.1657,0.373692,257,240,17,0.1382,0.212008,307,284,23,0.2577,0.735557,267,249,18,0.1953,0.375697,292,272,20,0.162833,6
0.8,0.95,0.04,0.2,0.5,0.1165,0.254431,331,314,17,0.1164,0.297833,303,285,18,0.1726,0.399963,265,240,25,0.1443,0.215216,310,284,26,0.23,0.686851,276,249,27,0.1972,0.349732,305,271,34,0.162833,6
0.75,0.95,0.05,0.25,0.5,0.117,0.241992,331,312,19,0.1145,0.255213,304,285,19,0.178,0.377639,266,236,30,0.1552,0.197326,306,278,28,0.2143,0.633679,278,249,29,0.1977,0.336418,302,267,35,0.162783,6
0.8,0.95,0.05,0.2,0.35,0.1165,0.254431,331,314,17,0.1136,0.290943,303,285,18,0.1726,0.399963,265,240,25,0.1415,0.213304,310,284,26,0.2313,0.692704,276,249,27,0.2012,0.358724,304,271,33,0.162783,6
0.8,0.95,0.05,0.2,0.5,0.1165,0.254431,331,314,17,0.1151,0.293595,303,285,18,0.1726,0.399963,265,240,25,0.1443,0.215216,310,284,26,0.2294,0.686072,276,249,27,0.1986,0.352142,304,271,33,0.16275,6
0.75,0.9,0.03,0.25,0.35,0.1185,0.243937,330,312,18,0.1127,0.253778,302,285,17,0.1765,0.376051,264,236,28,0.1568,0.198637,307,278,29,0.2143,0.634511,276,249,27,0.1976,0.335618,300,267,33,0.162733,6
0.75,0.9,0.03,0.25,0.5,0.119,0.242719,330,312,18,0.1115,0.245768,302,285,17,0.1778,0.375975,264,236,28,0.1591,0.199852,307,278,29,0.2126,0.63025,276,249,27,0.1964,0.332659,300,267,33,0.162733,6
0.75,0.9,0.05,0.25,0.35,0.1192,0.245935,330,312,18,0.1136,0.260329,301,285,16,0.1762,0.375938,263,236,27,0.1534,0.196699,306,278,28,0.216,0.638549,275,249,26,0.198,0.338679,295,267,28,0.162733,6
0.8,0.95,0.04,0.2,0.25,0.1165,0.254431,331,314,17,0.1133,0.291645,303,285,18,0.1726,0.399963,265,240,25,0.1397,0.212029,310,284,26,0.2328,0.698801,276,249,27,0.2013,0.360844,305,271,34,0.1627,6
0.8,0.9,0.05,0.2,0.5,0.1207,0.260315,330,314,16,0.1109,0.284307,300,285,15,0.174,0.394617,262,240,22,0.1446,0.215655,310,284,26,0.2294,0.686298,273,249,24,0.1962,0.347449,297,271,26,0.162633,6
0.75,0.95,0.04,0.25,0.35,0.117,0.241992,331,312,19,0.1143,0.255959,304,285,19,0.178,0.377639,266,236,30,0.1537,0.196391,306,278,28,0.2153,0.636348,278,249,29,0.1972,0.33601,303,267,36,0.162583,6
0.8,0.9,0.03,0.2,0.35,0.1187,0.255703,330,314,16,0.1098,0.282199,301,285,16,0.1715,0.395705,263,240,23,0.1473,0.217269,311,284,27,0.2286,0.686488,274,249,25,0.1996,0.352308,302,271,31,0.162583,6
0.8,0.95,0.05,0.2,0.25,0.1165,0.254431,331,314,17,0.1124,0.288467,303,285,18,0.1726,0.399963,265,240,25,0.1397,0.212029,310,284,26,0.2322,0.698116,276,249,27,0.2021,0.363162,304,271,33,0.162583,6
0.75,0.95,0.05,0.25,0.35,0.117,0.241992,331,312,19,0.1135,0.253484,304,285,19,0.178,0.377639,266,236,30,0.1537,0.196391,306,278,28,0.2151,0.636049,278,249,29,0.1978,0.337088,302,267,35,0.162517,6
0.8,0.85,0.04,0.15,0.35,0.1148,0.259165,328,314,14,0.1043,0.303245,300,285,15,0.1581,0.37703,257,240,17,0.1324,0.214448,307,284,23,0.2611,0.756488,267,249,18,0.204,0.401599,292,272,20,0.16245,6
0.75,0.85,0.05,0.25,0.35,0.1163,0.244466,327,312,15,0.1126,0.255985,301,285,16,0.171,0.366479,258,236,22,0.1441,0.203033,301,279,22,0.2333,0.680922,268,249,19,0.1973,0.35373,289,267,22,0.162433,6
0.8,0.9,0.03,0.2,0.5,0.1201,0.253943,330,314,16,0.1084,0.271744,301,285,16,0.1751,0.394709,263,240,23,0.1511,0.21964,311,284,27,0.2246,0.675821,274,249,25,0.1953,0.343305,302,271,31,0.162433,6
0.8,0.9,0.05,0.2,0.35,0.119,0.259211,330,314,16,0.1109,0.29061,300,285,15,0.1699,0.395525,262,240,22,0.1414,0.21346,310,284,26,0.2326,0.696516,273,249,24,0.2004,0.358693,297,271,26,0.162367,6
0.8,0.9,0.03,0.2,0.25,0.1174,0.256645,330,314,16,0.11,0.288302,301,285,16,0.1684,0.396616,263,240,23,0.1438,0.215055,311,284,27,0.2312,0.696532,274,249,25,0.2024,0.3609,302,271,31,0.1622,6
0.75,0.85,0.03,0.2,0.35,0.1167,0.246782,329,312,17,0.1109,0.277014,301,285,16,0.1711,0.375048,260,236,24,0.1478,0.20156,306,278,28,0.2299,0.669161,271,249,22,0.1966,0.356165,294,267,27,0.162167,6
0.8,0.9,0.04,0.2,0.25,0.1179,0.258474,330,314,16,0.1115,0.297747,300,285,15,0.1673,0.396567,262,240,22,0.1394,0.211925,310,284,26,0.2349,0.706397,273,249,24,0.2015,0.364712,299,271,28,0.162083,6
0.8,0.85,0.05,0.15,0.5,0.1154,0.255763,326,314,12,0.1011,0.283943,300,285,15,0.1639,0.373558,257,240,17,0.1361,0.232505,305,285,20,0.256,0.734462,266,249,17,0.1974,0.380757,290,272,18,0.16165,6
0.75,0.85,0.03,0.2,0.25,0.1155,0.249728,329,312,17,0.1116,0.285855,301,285,16,0.1668,0.372439,260,236,24,0.1443,0.203213,306,278,28,0.2322,0.68266,271,249,22,0.1991,0.364742,294,267,27,0.161583,6
0.75,0.95,0.03,0.2,0.5,0.116,0.247976,331,312,19,0.1146,0.28435,304,285,19,0.1714,0.374528,266,236,30,0.1537,0.207282,307,278,29,0.2164,0.635487,278,249,29,0.1974,0.343231,305,267,38,0.161583,6
0.8,0.9,0.05,0.2,0.25,0.1179,0.258474,330,314,16,0.1101,0.293092,300,285,15,0.1669,0.396351,262,240,22,0.1392,0.211954,310,284,26,0.2341,0.705388,273,249,24,0.2012,0.367576,297,271,26,0.161567,6
0.75,0.85,0.04,0.2,0.5,0.1175,0.246416,328,312,16,0.1083,0.262124,301,285,16,0.1687,0.361671,258,236,22,0.1464,0.198216,303,278,25,0.2349,0.673611,269,249,20,0.1935,0.34919,291,267,24,0.16155,6
0.75,0.85,0.04,0.2,0.35,0.1162,0.24887,328,312,16,0.1104,0.275462,301,285,16,0.1654,0.362442,258,236,22,0.1422,0.200424,303,278,25,0.2375,0.686053,269,249,20,0.1972,0.359523,291,267,24,0.161483,6
0.75,0.85,0.03,0.2,0.5,0.1169,0.242477,329,312,17,0.1086,0.263047,301,285,16,0.176,0.379477,260,236,24,0.1483,0.196583,306,278,28,0.226,0.655999,271,249,22,0.1929,0.347261,294,267,27,0.16145,6
0.8,0.85,0.03,0.15,0.35,0.1159,0.255373,328,314,14,0.1049,0.305131,300,285,15,0.1668,0.395527,259,240,19,0.138,0.210501,310,284,26,0.2491,0.728311,269,249,20,0.1926,0.376905,296,272,24,0.161217,6
0.8,0.85,0.05,0.2,0.25,0.1109,0.256153,326,314,12,0.1096,0.290411,300,285,15,0.1584,0.389111,257,240,17,0.126,0.216402,305,285,20,0.2591,0.787547,266,249,17,0.2031,0.425168,290,272,18,0.161183,6
0.75,0.9,0.04,0.2,0.5,0.1196,0.252893,330,312,18,0.1123,0.27784,301,285,16,0.1723,0.372005,263,236,27,0.1494,0.204862,306,278,28,0.2165,0.635768,275,249,26,0.1969,0.341636,297,267,30,0.161167,6
0.75,0.95,0.03,0.2,0.35,0.116,0.247976,331,312,19,0.113,0.28137,304,285,19,0.1714,0.374528,266,236,30,0.1504,0.205437,307,278,29,0.2177,0.639722,278,249,29,0.1978,0.344734,305,267,38,0.16105,6
0.75,0.85,0.05,0.2,0.5,0.1169,0.246551,327,312,15,0.1075,0.25959,301,285,16,0.1679,0.361513,258,236,22,0.1447,0.21389,301,279,22,0.234,0.672938,268,249,19,0.1945,0.351175,289,267,22,0.160917,6
0.75,0.9,0.04,0.2,0.35,0.1182,0.251971,330,312,18,0.1125,0.284757,301,285,16,0.1703,0.372328,263,236,27,0.1458,0.202679,306,278,28,0.2186,0.642334,275,249,26,0.1986,0.347127,297,267,30,0.160667,6
0.75,0.9,0.05,0.2,0.5,0.1196,0.252893,330,312,18,0.111,0.273786,301,285,16,0.172,0.371952,263,236,27,0.1482,0.204461,306,278,28,0.216,0.635134,275,249,26,0.1971,0.343804,295,267,28,0.16065,6
0.75,0.95,0.04,0.2,0.5,0.116,0.247976,331,312,19,0.114,0.282838,304,285,19,0.1714,0.374528,266,236,30,0.1479,0.204067,306,278,28,0.2164,0.635487,278,249,29,0.1981,0.345626,303,267,36,0.160633,6
0.75,0.95,0.05,0.2,0.5,0.116,0.247976,331,312,19,0.1127,0.278686,304,285,19,0.1714,0.374528,266,236,30,0.1479,0.204067,306,278,28,0.216,0.634989,278,249,29,0.1996,0.348085,302,267,35,0.1606,6
0.75,0.9,0.03,0.2,0.5,0.1189,0.247568,330,312,18,0.1084,0.261478,302,285,17,0.1726,0.372048,264,236,28,0.1546,0.208052,307,278,29,0.2128,0.628429,276,249,27,0.1962,0.339601,300,267,33,0.160583,6
0.75,0.9,0.03,0.2,0.35,0.1178,0.24904,330,312,18,0.1099,0.271721,302,285,17,0.1707,0.372392,264,236,28,0.1508,0.205915,307,278,29,0.2155,0.635246,276,249,27,0.1982,0.344424,300,267,33,0.160483,6
0.75,0.95,0.03,0.2,0.25,0.116,0.247976,331,312,19,0.1114,0.278085,304,285,19,0.1714,0.374528,266,236,30,0.1476,0.203807,307,278,29,0.2183,0.643106,278,249,29,0.198,0.346112,305,267,38,0.16045,6
0.85,0.9,0.04,0.35,0.5,0.1208,0.258845,330,316,14,0.1356,0.322707,298,287,11,0.1839,0.423064,260,243,17,0.1134,0.192496,309,290,19,0.208,0.595929,272,251,21,0.2006,0.332771,298,272,26,0.160383,6
0.8,0.85,0.03,0.15,0.5,0.1175,0.250146,328,314,14,0.1023,0.288147,300,285,15,0.1761,0.399617,259,240,19,0.1374,0.202618,310,284,26,0.243,0.706304,269,249,20,0.1851,0.358627,296,272,24,0.160233,6
0.75,0.95,0.04,0.2,0.35,0.116,0.247976,331,312,19,0.1125,0.279866,304,285,19,0.1714,0.374528,266,236,30,0.1452,0.202345,306,278,28,0.2177,0.639722,278,249,29,0.1985,0.347266,303,267,36,0.160217,6
0.8,0.85,0.03,0.15,0.25,0.1123,0.258522,328,314,14,0.1057,0.315883,300,285,15,0.158,0.394268,259,240,19,0.1341,0.214374,310,284,26,0.2519,0.751316,269,249,20,0.1992,0.397669,296,272,24,0.1602,6
